ngram,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
ruj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.237599653180053e-05,0.0,0.0,0.0,0.0
y_p,-4.0218807015695747e-16,-1.0018533667040913e-15,-1.874093915234904e-15,-5.9224655831051184e-15,-9.296395901844766e-16,-6.5107414720939e-16,-1.8592401354071242e-15,-1.904727119198162e-15,-3.2191576838583286e-15,-6.1695397410514795e-15,-5.5820845726994325e-15,-3.405712057295328e-15,-3.922339722122336e-15,-1.7144765989953594e-15,-2.1273787494834453e-15,-5.971071095559186e-16
sme,2.5090241035127755e-05,0.0,0.0,0.0,6.443884541772035e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_l,0.0,1.9157079028902124e-06,1.823222290005564e-06,0.0,6.4438845418107714e-06,0.0,0.0,0.0,0.0,1.7958948822615834e-06,1.7054653862746454e-06,0.0,1.8511024955132854e-06,4.225442249600377e-06,1.7607315277959847e-06,0.0
oay,0.0,0.0,3.8287668089886684e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2821945833562014e-06,0.0
tpl,0.0,0.0,0.0,0.0,7.732661450033477e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uzz,0.0,0.0,0.0,0.0,1.7183692111185503e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.499349544913025e-05,0.0,0.0,0.0,9.678668456010956e-05
gue,0.0,0.0,0.0,0.00013996578503373494,0.0002645577877609397,0.0,0.0,0.0,0.0,0.0,0.0,0.00027857275091920853,0.0,0.0,0.0,0.0
_ka,0.001127819335921449,0.0018906518501555633,0.0019036926168237377,2.862802026802814e-07,0.0,0.0011827650549988643,0.002090239282092851,0.003404422375777874,0.002014279610754154,0.0010929202078917163,0.0020061233218307854,0.0,0.0017466551325538613,0.0015311540354460945,0.001300817666288138,0.0015164989090793058
nup,2.314086865682699e-06,9.54108740835907e-06,0.0,0.0,0.0,4.697828738957889e-05,2.8291147765428007e-06,2.6770835228243304e-05,0.0,2.9814548836022752e-06,0.0,0.0,3.2267631927118544e-05,1.052230190771443e-05,2.923078440787719e-06,0.0
eho,0.0,2.987671726900147e-05,2.47255162324778e-06,2.015297400868439e-06,0.00021701438102300776,0.0,3.0043625269220583e-05,0.00018369596809913267,0.00022627209135153128,0.0,0.0001711513682085316,0.0,8.786264169811668e-06,0.0,5.969512907203185e-06,0.0
yao,0.0,8.427960544050513e-05,4.540233719234335e-06,1.2335328853099904e-06,0.0,0.0,2.8291147765428007e-06,0.0,4.467667915986851e-06,0.0,2.1234962670754554e-05,0.0,7.682769506456795e-06,0.0,1.4615392203938596e-06,6.624543388087333e-05
arl,0.0,0.0,0.0,0.0,8.299852165049089e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005626077126407545,4.470481941664833e-06,0.0,0.0,0.0
sus,0.00017521030489757287,0.00019442375977393866,0.00017298456516935955,0.00014583694498703626,6.47985151732663e-05,0.0001927927870123251,0.00016216147364020284,0.00016425759605161275,0.00015501860378483686,0.00018025744964300877,0.000178644224601878,6.275587521253492e-05,8.238571428724268e-05,1.6655136070634353e-05,0.00018558083145828687,0.0
ens,0.0,9.755789988749712e-06,1.747727945840403e-05,0.00014645814433172325,1.9303318695743926e-05,1.2861415255963656e-05,1.5825198362332956e-05,1.1110322325594169e-05,1.074871437293205e-05,1.2373511873507495e-05,1.226135260327993e-05,0.0001260206609150236,2.7725839264757228e-06,0.0,1.6350802214766472e-05,0.0
_ni,-2.8228575174141453e-14,-7.185706906015552e-14,-3.7448999464079926e-14,-2.2376736479152825e-15,-1.1814169791927724e-15,-3.211379239613883e-14,-2.6859105427203747e-14,-1.765144063134785e-14,-3.544308786599798e-14,-2.8451132086686227e-14,-4.654812672606387e-14,-5.037190887137401e-15,-4.1576801054496764e-14,-6.372773017599046e-14,-3.0958123593229237e-14,-5.041727466070872e-14
j_u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8093999132950133e-05,0.0,0.0,0.0,0.0
dad,2.953812546460938e-05,4.280999699747127e-05,2.9854958012918397e-05,7.672309431831541e-05,0.0,6.729654953744333e-05,3.217267938512634e-05,3.355028894826265e-05,3.1451517601000005e-05,1.5222693620524062e-05,2.858380756621001e-05,0.00015903596921457134,1.4264231380595028e-05,0.0,4.545229916104576e-05,5.560932151498748e-06
nke,2.787804559475398e-05,0.0,0.0,0.0,4.725515330661232e-05,1.561247788245704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3584096078693525e-05
xig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71409986994252e-05,0.0,0.0,0.0,0.0
unn,0.0,0.0,0.0,0.0,1.5562222809467045e-05,4.241780948556503e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030613804451408677,0.0,0.0
jaj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5071383994924544e-05,0.0,0.0
utm,0.0,0.0,0.0,0.0,0.0,7.806238941087745e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pae,2.019795765534292e-05,1.3879519269408011e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7348613941666156e-05,0.0,0.0,0.0,0.0,0.0,0.0
feo,0.0,4.142284480890599e-06,3.942305288666277e-06,3.213246399783205e-06,0.0,4.219805948964116e-06,3.6847995617137988e-06,3.486785433155468e-06,3.87929607645173e-06,3.883215958382636e-06,0.0,4.890521911896232e-06,4.002589918919375e-06,0.0,3.8071831679561026e-06,0.0
uys,0.00013801937731150997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.883134003097326e-05,0.0,0.0,0.00013606135311737192,0.0,0.0
uss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5071383994924544e-05,0.0,0.0
iaw,1.972423996161167e-06,0.0,0.0,0.0,0.0,1.6569181245270955e-05,0.0,0.0,5.077386699150306e-06,0.0,1.2066487376516072e-05,0.0,0.0,0.0,7.4745034139893275e-06,4.805501336294512e-06
kiw,1.6726827356852386e-05,0.0,0.0,0.0,0.0,7.80623894122852e-06,0.0,0.0,0.0,7.1835795290463334e-06,0.0,0.0,0.0,0.0,1.0564389166775907e-05,0.0
l_p,7.78712466211435e-07,4.2808901234628694e-06,1.0185548488872983e-06,5.1610228159548894e-05,6.799844184848931e-06,9.085428228667535e-07,3.649426510493802e-06,5.405185976104258e-06,3.006826366516232e-06,9.865667466546863e-06,8.416127914577363e-06,5.6648759839503e-05,5.5153616259241966e-06,1.862227812622109e-05,3.934575931977814e-06,0.0
wiy,3.366326275890487e-06,0.0,0.0,0.0,0.0,9.426179885681116e-06,0.0,0.0,0.0,1.3011460456249618e-05,0.0,0.0,0.0,0.0,0.0,0.0
_c_,0.00033326630131315816,0.0,0.0,0.0,8.818592925364658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006117676098617914,0.0,0.0,0.0,0.0
acg,2.7878045594251234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orw,0.0,0.0,0.0,0.0,3.2219422708860175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012735090073698625
ya_,0.001040230069447442,0.0003991930040129126,0.0004379785850215383,0.0007005431237849761,0.0,1.762573076361502e-05,0.00032702034948381414,0.00020059245733542472,0.0005465742150689507,0.00032205551763676713,0.0005516533655705992,2.148019889825021e-05,0.00046915044830517694,0.0007312522734634422,0.0004893628815397405,0.00035699180255696725
ala,-1.4239971358994773e-14,-2.6290014209028054e-14,-3.205686960270231e-14,-4.301157131621591e-15,-7.746996584870638e-17,-1.7561405376080304e-14,-4.0396217487482064e-14,-1.647370859581311e-14,-1.606343507573528e-14,-1.7310335913868853e-14,-9.995468243125707e-15,-2.671546583866395e-15,-3.9323542065192446e-14,-9.766166700943936e-15,-1.5875960817040638e-14,-1.8326595131754734e-14
ghi,0.0,4.2458415929128635e-05,0.00013108165084815368,0.0,1.161120078811031e-06,0.0,0.00014278598301640968,0.0001080903484278195,5.0430848993872495e-05,2.4270099739891472e-05,3.0423381889654356e-05,0.0,4.402848910811313e-05,0.00010659322227837855,0.00011040831187072697,0.0
_ie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71409986994252e-05,0.0,0.0,0.0,0.0
sco,0.0,0.0,0.0,0.00024045404095539077,0.00010893555966626929,0.0,0.0,0.0,0.0,0.0,0.0,0.00015294190246544786,0.0,0.0,0.0,0.0
lp_,0.0,0.0,0.0,0.0,5.1551076333556516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ule,0.00010848331978886417,0.0,0.0,1.8925347265124337e-05,5.471002960617004e-05,9.665355726408058e-05,0.0,0.0,0.0,3.303636184115476e-05,0.0,3.200460910691464e-06,0.0,0.0,0.0,0.0
ko_,0.0,0.0009972549887744117,0.0007786052945115896,0.0,0.0,0.00025635321139957007,0.0006807667190266243,0.0006180327180268068,0.0008650830250487359,4.562778751099597e-05,0.000674845925552333,0.0,0.0006153982000338539,0.0,0.0007052806818638681,0.0010023376312252566
hid,0.0,1.5533566803339746e-05,1.9711526443331385e-06,0.0,2.206128149740959e-05,0.0,2.210879737028279e-05,1.743392716577734e-06,5.818944114677596e-06,0.0024473968577706567,3.6876826532914374e-05,1.222630477974058e-06,1.0006474797298438e-06,3.0455206365251013e-06,0.0,0.0
